Género,Título,Adivinanza 2,Artista,Spotify
Pop Latino,3:00 a.m.,"Hora en la que se inicia un nuevo día, pero todavía es de noche.","Jesse & Joy, Gente De Zona",https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu
Urbana,301,"Número que sigue al tres, un lugar especial para algunos.","Reykon, KAROL G",https://open.spotify.com/track/5GJBSWrbSZRj0M9yi0nDdS
Plancha,¡Ay Amor!,La exclamación que surge al sentir el afecto y su título en dos palabras.,Ana Gabriel,https://open.spotify.com/track/0fC6Szw2CX8XZYsydOLmVC
Pop Latino,¡Corre!,"Un imperativo que invita a moverse rápidamente, como si estuvieras huyendo de algo.",Jesse & Joy,https://open.spotify.com/track/5kIcrM3QVD4BQPFMszQnU1
Plancha,¿Qué Pasará Mañana?,Un interrogante sobre el futuro que está justo al llegar.,José Luis Perales,https://open.spotify.com/track/588L3T9VgPngwtXUiFWnf6
Pop Latino,¿Qué pides tú?,"Solicitudes en un diálogo, lo que anhelas de alguien en una charla.",Alex Ubago,https://open.spotify.com/track/2tWmETghMSbR3LQ5lCrJq8
Plancha,¿Qué Será de Ti?,Un interrogante sobre el futuro de alguien que te importa.,Camilo Sesto,https://open.spotify.com/track/6AP6ELJ9Il3RwyQlzbeogS
Banda,¿Qué Te Parece?,Un interrogante que busca tu opinión sobre algo que se propone.,"Grupo Frontera, Oscar Maydon",https://open.spotify.com/track/6oCQOBXMHc1z2JRx1Dv6tG
Urbana,¿Qué Tengo Que Hacer?,¿Qué acciones debo realizar para alcanzar lo que deseo?,Daddy Yankee,https://open.spotify.com/track/0nssGbqC6ZSMx0OliWCkHk
Plancha,¿Quieres Ser Mi Amante?,"Un deseo sincero de compartir la vida, buscando complicidad en el amor.",Camilo Sesto,https://open.spotify.com/track/1Y7q2zwCBjt9zgIHZ0Ku7J
Plancha,¿Y Cómo Es Él?,Un interrogante sobre la manera de ser de un caballero.,José Luis Perales,https://open.spotify.com/track/7aSxNjoVoAwNL7HDAKwGtC
Banda,(Entre Paréntesis),Lo que ocurre cuando no puedes ocultar lo que sientes en tu corazón.,"Shakira, Grupo Frontera",https://open.spotify.com/track/68viiGZoRbLCjsy5xD4VrU
Urbana,1+1,"La suma de un individuo más otro, formando una unión especial.","Maluma, Kany García",https://open.spotify.com/track/4IIVfcAGxVXGMbwIpj6ZXJ
Urbana,11 PM,La hora en la que empieza la noche y las emociones se desatan.,Maluma,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
Tropical,13 Años,La cantidad de vueltas que da el reloj en más de una década.,Wilfrido Vargas,https://open.spotify.com/track/56sBMO7NmQccMdCeRf4iS4
Pop Anglo,19-2000,Un número que indica una edad y otro que suena a un par de milenios.,"Gorillaz, Miho Hatori, Tina Weymouth",https://open.spotify.com/track/71koAFCnGnugRdGIDfS7f4
Urbana,200 COPAS,"Cantidad de bebidas que se necesitan para ahogar las penas, ¿será suficiente?",KAROL G,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG
Pop Anglo,24K Magic,"Oro puro y encanto en el aire, una celebración brillante que no puedes ignorar.",Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
Tropical,25 Horas,"Un día tiene mil y un momentos, pero solo una parte de ese tiempo.",Proyecto Uno,https://open.spotify.com/track/5fq4jxlqyjAVFLOB0lZIdT
Pop Anglo,3:15 (Breathe),"Un momento de cada hora y un cuarto, donde todo lo que necesitas es inhalar.",Russ,https://open.spotify.com/track/0dGqP4VickYjtIaB5VOt4H
Urbana,5 Letras,"Un término que describe un vínculo por el que muchos sienten afinidad, pero a veces se enreda.",Alexis y Fido,https://open.spotify.com/track/0tDSgSmZsbxCkdkfUPjg59
Urbana,6 AM,"La hora en que empieza el nuevo día, pero ya has vivido mucho antes.","J Balvin, Farruko",https://open.spotify.com/track/7mPwkbaoiQ5bf8FPbRJzUr
Urbana,7 Días,"Un número que representa una semana, que se siente eterno cuando hay amor.",Romeo Santos,https://open.spotify.com/track/3sTVMGhTdyyLM67WyYhYMB
Vallenato,A Besitos,"Un contacto suave y dulce entre labios, preferiblemente en pequeñas dosis.",Los Diablitos,https://open.spotify.com/track/7CnlBAOTtLrPoSslicvZM7
Tropical,A Donde Iras,"El lugar al que te diriges, el destino de tus pasos, ¿cuál es?",Luisito Ayala Y La Puerto Rican Power,https://open.spotify.com/track/3hkISWyfeWQk5iq9fPuv6n
Vallenato,A Donde Iré Sin Ti,"Un lugar al que no sé si llegaré, si no estás a mi lado.",Los Gigantes Del Vallenato,https://open.spotify.com/track/1TYPgjaOTvBaNL7FrGOxxk
Plancha,A Donde Vayas,"El lugar al que te diriges, donde quieras que sea.",Los Bukis,https://open.spotify.com/track/3yb8pakJMZzfiK7siLZLUM
Urbana,A Ella,A esa persona que siempre conquista tu atención y te hace girar.,KAROL G,https://open.spotify.com/track/1pkMzGqBBS10nDiiYrNGGJ
Plancha,A Esa,"Dirígete a la destinataria de tu afecto, expresa lo que sientes sin rodeos.",José José,https://open.spotify.com/track/1TJS7POzl1qrGhqvFcjtHv
Plancha,A Esa,"Una dirección a un amor, pero con un toque de anhelo.",Pimpinela,https://open.spotify.com/track/42QWOsW1f9uDu9zsoUAE73
Tropical,A Fuego Lento,"La forma en que arde un amor, lentamente, sin prisa, pero con intensidad.","Mario Ortiz Y Su Orquesta, Anthony Cruz, Luigui Valentin, Nelson Rodriguez, Gilberto Santa Rosa, Primi Cruz",https://open.spotify.com/track/1Srn5mpWz7eS0rdy0EtHxJ
Plancha,A la Mujer Que Tanto Amé,Dedico esta letra a quien ocupó un lugar especial en mi corazón.,Los Angeles Negros,https://open.spotify.com/track/431WFvDCFrqyuWZu1orajz
Tropical,A Maina,Un lugar donde las dudas se disipan y se celebra la alegría.,Willie Rosario,https://open.spotify.com/track/3UcD91YUQVenifPgFNtmPA
Tropical,A Mi,"Un pronombre personal que refiere a ti, seguido de un posesivo.",Cano Estremera,https://open.spotify.com/track/3y3A0PQZqg6RiWMHRgqvFU
Urbana,A Mí No,Una expresión de rechazo ante algo que no te afecta personalmente.,Greeicy,https://open.spotify.com/track/5UJ0ekAw8exus0fvaUWSZ8
Tropical,A Nuestro Modo,"Adoptando nuestro estilo, sin seguir las reglas de los demás, en nuestra propia esencia.",Gabino Pampini,https://open.spotify.com/track/2KnGrPWw6jCtvl7JITgmQg
Tropical,A Pesar de la Distancia,Es un sentimiento que persiste incluso cuando hay kilómetros entre tú y yo.,Hansel Camacho,https://open.spotify.com/track/5oWJAQ5VwHMrtwcblMFQ7Q
Vallenato,A Pesar De Todo,"Aun con los obstáculos y las adversidades, el amor sigue firme.","La Combinación Vallenata, Alex Manga, Morre Romero",https://open.spotify.com/track/6PJlqc0VY2xHVRpdG64O09
Tropical,A Prueba De Fuego,"Resistente ante el ardor, no se deja consumir por las llamas del amor.",Grupo Niche,https://open.spotify.com/track/3WIHqoLLeQ0m7zeJshfSpg
Banda,A Punta de Licor,"Con un sorbo en mano, a enfrentar lo que venga, el camino se cierra y la diversión comienza.",Darío Gómez,https://open.spotify.com/track/4U32yeewz9SPZxxc1FNEGY
Tropical,A Puro Dolor - Salsa Version,Una mezcla intensa de sufrimiento y una necesidad constante.,Son By Four,https://open.spotify.com/track/6M03z3sBED3z2dVJgt7F7j
Tropical,A Quien...? A Mi...?,¿A quién le importa mi sufrimiento? La respuesta está en la pregunta.,Gilberto Santa Rosa,https://open.spotify.com/track/2lReNvObBxLnEkM2EpuutY
Pop Anglo,A Sky Full of Stars,Un firmamento brillante repleto de brillantes esferas luminosas.,Coldplay,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ
Pop Anglo,A Thousand Miles,El trayecto que recorrería si pudiera cruzar muchas distancias.,Vanessa Carlton,https://open.spotify.com/track/4w1lzcaoZ1IC2K5TwjalRP
Tropical,A Ti Volvere,"Regresaré a ese lugar que guardo en mi corazón, donde todo comenzó.",Tito Rojas,https://open.spotify.com/track/4C1PKwORybZ91FLj2Ua5ce
Urbana,A Tu Merced,"Donde tú te sientes a tu antojo, inmerso en la voluntad de otro.",Bad Bunny,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
Plancha,A Tu Recuerdo,"Un eco de lo que viviste, siempre presente en tu mente.",Los Angeles Negros,https://open.spotify.com/track/3SZ5Q0KLVIIFKcXIKXb295
Urbana,A Veces A Besos,"En ocasiones, el roce de labios es más que un simple saludo.",Greeicy,https://open.spotify.com/track/6AQgrZrFu1xfuAmbyXmKAE
Pop Latino,Abrázame Muy Fuerte,"Un gesto de amor que une intensamente, pidiendo que no me sueltes nunca.",Juan Gabriel,https://open.spotify.com/track/2nejvFyJeTDtMRP2nUMt0J
Plancha,Acaríciame,"Toca suavemente, como una brisa que busca el calor de una piel.",Maria Conchita Alonso,https://open.spotify.com/track/36AZfm9TMpqDe0a97eQHZ5
Vallenato,Acuerdate,"Cuando el tiempo avanza, hay algo que no debes olvidar.",Los Gigantes Del Vallenato,https://open.spotify.com/track/67PpBxwzwBbBUyUDcbWGxC
Vallenato,Acuérdate,"Recuerda un momento vivido, aunque el tiempo intente borrar la memoria.",Los Gigantes Del Vallenato,https://open.spotify.com/track/7sjRnSohHSVBK6Ii3hrvd7
Urbana,Adan y Eva,"Un hombre y una mujer en un paraíso perdido, ¿quiénes son los primeros?",Paulo Londra,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
Banda,Adiós Amor,Un último saludo a un sentimiento profundo que se va para nunca volver.,Christian Nodal,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
Vallenato,Adiós Amor,Un saludo emotivo a un sentimiento que ya no estará presente.,"Luis Mateus, La Nueva Generación",https://open.spotify.com/track/0Mm50XeSEj5KGUZmQRuLfo
Urbana,ADMV,"Una abreviatura que evoca sentimientos profundos: Amor, deseo y compasión.",Maluma,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
Vallenato,Adolescentes,Una etapa de la vida donde la curiosidad y el cambio están en su apogeo.,Daniel Calderón,https://open.spotify.com/track/1dunmSg72KhKCDhbnlwzWO
Pop Anglo,Adore You,"Te venero con cada susurro, anhelando tu presencia sin condición.",Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
Pop Anglo,Adventure of a Lifetime,Un viaje emocionante que dura para siempre y nos llena de alegría.,Coldplay,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
Pop Anglo,Africa,Un continente donde la vida late con fuerza y folclor.,TOTO,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
Pop Anglo,After Last Night (with Thundercat & Bootsy Collins),"Después de la oscuridad, ese momento que todos anhelan tras haber soñado.","Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",https://open.spotify.com/track/0crw01bqnefvDUDjsuKraD
Urbana,AGUA,"Un elemento esencial para la vida, que fluye y refresca en cada gota.","Daddy Yankee, Rauw Alejandro, Nile Rodgers",https://open.spotify.com/track/4e4t1qNN47CzmCxFffzs4U
Pop Latino,Agua,"Elemento esencial para la vida, fluido que cae del cielo y da vida a la tierra.",Jarabe De Palo,https://open.spotify.com/track/5omgFpiMt1CGHjQGfkwzvz
Urbana,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie","Elemento esencial para la vida, que también puede fluir en un río.","Tainy, J Balvin",https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
Tropical,Agua Caliente,Elemento primordial en estado líquido que alcanza temperaturas elevadas.,Hildemaro,https://open.spotify.com/track/5HmxRC7UzG9FxGYAm7EsXH
Urbana,Agua de Jamaica,"Una bebida dulce y refrescante que en México se disfruta fría, con un toque de color.",Maluma,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
Tropical,Agua Que Va A Caer,"Un líquido que desciende del cielo, pronto tocará el suelo.","Ismael Rivera, Cortijo Y Su Combo",https://open.spotify.com/track/417oy2mvDKzeiDFdTORBSJ
Tropical,Aguacero,"Una intensa lluvia que cae con fuerza, dejando todo empapado.",El Gran Combo De Puerto Rico,https://open.spotify.com/track/5k1OxW8WdINpWyQTjDup4b
Urbana,Ahí,"En ese lugar, entre el aquí y el allá, se encuentra lo que deseas.","KAROL G, Drake",https://open.spotify.com/track/6DoUDG1GJrJf6eGQLUBBnm
Urbana,Ahora Es,"El momento perfecto para actuar, ya no hay tiempo que esperar.",Wisin & Yandel,https://open.spotify.com/track/15wPtgg6jsyMLhIkjcSpl4
Tropical,Ahora me da pena,Siento un rubor que me invade cuando pienso en lo que pasó.,Henry Fiol,https://open.spotify.com/track/3ogUFoUSvXN7GLb0Q0EAgu
Urbana,Ahora Me Llama,"En este instante, necesito que me busques, pero no eres tú quien me llama ahora.","KAROL G, Bad Bunny",https://open.spotify.com/track/0alSPoUfrGb0RdVVG4Lf3n
Banda,Ahora Que Puedo,Un tiempo que sí tengo para hacer lo que deseo.,Fernando Burbano,https://open.spotify.com/track/0ICYIN3E2bBXKAexkAZXBt
Vallenato,Ahora Que Te Vas,"El momento que surge cuando se decide marcharse, pero aún queda un eco de la presencia.",Los inquietos del vallenato,https://open.spotify.com/track/2rGBCsiDxWsTPaNZeGLlSk
Tropical,Ahora Soy Yo - Nuevo,"Un presente renovado, donde el enfoque está en mi propia esencia.",Willie Gonzalez,https://open.spotify.com/track/3qjTHpXCj9QdECRDRRuxjM
